Company Name	Majors Recruited	Work Authorization Desired	Position Types
"Lutron Electronics Co., Inc."	"Computer Science, Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Computer Engineering, Physics, Software Engineering, Engineering Physics, Electrical and Computer Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time, Co-op"
"MacAulay-Brown, Inc. (MacB)"	"Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	US Citizen	"Internship/Externship, Full Time, Co-op"
"Manufacturing Technology, Inc. (MTI)"	"Electrical Engineering, Mechanical Engineering"	US Citizen	"Internship/Externship, Full Time, Co-op"
Marathon Petroleum Company LP	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	Co-op
Marian University Accelerated Nursing Programs		"US Citizen, Permanent Resident"	
"MasterBrand Cabinets, Inc"	"Computer Science, Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
"Matrix Technologies, Inc."	"Computer Science, Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Computer Engineering"	US Citizen	"Full Time, Co-op"
Medtronic	"Mechanical Engineering, Biomedical Engineering"	US Citizen	Co-op
"Microchip Technology, Inc"	"Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa"	"Internship/Externship, Full Time"
National Instruments	"Computer Science, Electrical Engineering, Computer Engineering, Physics, Engineering Physics"		Full Time
New Hudson Facades	"Civil Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	Full Time
"Pondurance, LLC"	Computer Science	US Citizen	"Internship/Externship, Full Time"
Ray Skillman	All Majors	US Citizen	
Raytheon	"Math, Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering, Engineering Physics, Electrical and Computer Engineering, Syst Engr & Mgmt Internat'l"	US Citizen	"Internship/Externship, Full Time, Part Time, Co-op"
"Remy International, Inc."	"Economics, Computer Science, Engineering Management-GR Only, Electrical Engineering, Mechanical Engineering, International Studies"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Renaissance Administration LLC	"Economics, Math, Computer Science, Computer Engineering, Software Engineering"		"Internship/Externship, Full Time, Part Time"
RINCON RESEARCH CORPORATION	"Computer Science, Electrical Engineering, Computer Engineering, Physics, Software Engineering, Electrical and Computer Engineering"	US Citizen	Full Time
Rockwell Collins	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident, F-1 Student Visa"	"Internship/Externship, Full Time, Co-op"
Rolls-Royce North America	"Electrical Engineering, Mechanical Engineering"	US Citizen	Internship/Externship
Rose-Hulman Ventures			
Samtec	"Electrical Engineering, Mechanical Engineering, Optical Engineering"	US Citizen	Co-op
Schreiber Foods	"Economics, Computer Science, Biology, Chemical Engineering, Chemistry, Engineering Management-GR Only, Biochemistry & Molecular Biology, Biochemistry, Computational Science, Syst Engr & Mgmt Internat'l"	US Citizen	"Internship/Externship, Full Time, Part Time, Co-op"
Scientia LLC	"Computer Science, Software Engineering, Electrical and Computer Engineering"	US Citizen	"Internship/Externship, Full Time"
"Skyworks Solutions, Inc."	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa"	"Internship/Externship, Full Time, Co-op"
SmartFile	"Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	US Citizen	"Internship/Externship, Full Time"
"Software Engineering Professionals, Inc. (SEP)"	"Computer Science, Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Co-op"
"SonaCare Medical, LLC."	"Electrical Engineering, Mechanical Engineering, Biomedical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Co-op"
Southwest Research Institute	"Electrical Engineering, Mechanical Engineering, Computer Engineering, Computational Science"	"US Citizen, Permanent Resident, H-1 Visa"	"Internship/Externship, Full Time"
STIMULUS Engineering	"Computer Science, Electrical Engineering, Mechanical Engineering, Physics, Optical Engineering, Electrical and Computer Engineering"	US Citizen	"Internship/Externship, Full Time, Part Time"
Tarlton Corporation	Civil Engineering	US Citizen	"Internship/Externship, Full Time"
Texas Instruments	"Electrical Engineering, Computer Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Textron (Dixie Chopper & Textron Aviation)	All Majors	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Tipmont REMC	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
TOC Logistics	"Electrical Engineering, Mechanical Engineering"	US Citizen	
"Torax Medical, Inc"	"Mechanical Engineering, Biomedical Engineering"		
Turner Construction Company	Civil Engineering	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Part Time, Co-op"
U.S.Army Recruiting		US Citizen	Full Time
Valeo Lighting Systems North America	"Electrical Engineering, Mechanical Engineering, Physics, Optical Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa"	"Internship/Externship, Full Time, Co-op"
Wolf Technical Services	"Mechanical Engineering, Biomedical Engineering"	US Citizen	"Internship/Externship, Full Time"
"WSI Engineering / WSI, Inc."	Civil Engineering		Full Time
"X by 2, LLC."	"Computer Science, Software Engineering"	US Citizen	
AI International	"Electrical Engineering, Mechanical Engineering"	US Citizen	"Full Time, Part Time, Co-op"
Aircom Manufacturing/Medivative Technologies	Biomedical Engineering	US Citizen	Internship/Externship
Aisin USA	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	"Internship/Externship, Full Time"
AK Steel Corporation	"Computer Science, Chemical Engineering, Electrical Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
